target,raw_action,Receive Time,Generate Time,High Res Timestamp,Type,Threat/Content Type,Application,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,IP Protocol,Source Port,Destination Port,Source Country,Destination Country,Threat/Content Name,Category,Severity,Direction,Subcategory of app,Category of app,Technology of app,Risk of app,SaaS of app,Rule
Allow,redacted_action,2026-01-01 00:13:59,2026-01-01 00:13:59,2026-01-01 00:13:59,redacted_type,threat_type_001,application_003,source_zone_003,destination_zone_003,inbound_interface_missing,outbound_interface_missing,ip_protocol_003,source_port_001,destination_port_001,source_country_001,destination_country_001,threat_name_031,category_001,severity_002,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Reset-Server,redacted_action,2026-01-01 00:14:00,2026-01-01 00:14:00,2026-01-01 00:14:00,redacted_type,threat_type_004,application_006,source_zone_003,destination_zone_002,inbound_interface_003,outbound_interface_002,ip_protocol_002,source_port_198,destination_port_438,source_country_031,destination_country_011,threat_name_013,category_002,severity_006,direction_001,app_subcategory_003,app_category_001,app_technology_001,app_risk_003,app_saas_001,rule_context_007
Reset-Server,redacted_action,2026-01-01 00:14:01,2026-01-01 00:14:01,2026-01-01 00:14:01,redacted_type,threat_type_004,application_006,source_zone_003,destination_zone_001,inbound_interface_003,outbound_interface_001,ip_protocol_002,source_port_057,destination_port_437,source_country_034,destination_country_011,threat_name_035,category_003,severity_006,direction_001,app_subcategory_003,app_category_001,app_technology_001,app_risk_003,app_saas_001,rule_context_006
Block,redacted_action,2026-01-01 00:14:02,2026-01-01 00:14:02,2026-01-01 00:14:02,redacted_type,threat_type_003,application_001,source_zone_001,destination_zone_003,inbound_interface_001,outbound_interface_003,ip_protocol_003,source_port_228,destination_port_325,source_country_003,destination_country_013,threat_name_015,category_001,severity_001,direction_002,app_subcategory_002,app_category_002,app_technology_002,app_risk_002,app_saas_001,rule_context_001
Drop,redacted_action,2026-01-01 00:14:03,2026-01-01 00:14:03,2026-01-01 00:14:03,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_001,source_port_001,destination_port_001,source_country_013,destination_country_011,threat_name_007,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Block,redacted_action,2026-01-01 00:14:04,2026-01-01 00:14:04,2026-01-01 00:14:04,redacted_type,threat_type_003,application_001,source_zone_002,destination_zone_001,inbound_interface_002,outbound_interface_001,ip_protocol_003,source_port_055,destination_port_325,source_country_002,destination_country_002,threat_name_019,category_001,severity_001,direction_002,app_subcategory_002,app_category_002,app_technology_002,app_risk_002,app_saas_001,rule_context_003
Reset-Server,redacted_action,2026-01-01 00:14:05,2026-01-01 00:14:05,2026-01-01 00:14:05,redacted_type,threat_type_004,application_006,source_zone_003,destination_zone_001,inbound_interface_003,outbound_interface_001,ip_protocol_002,source_port_017,destination_port_437,source_country_016,destination_country_011,threat_name_003,category_002,severity_003,direction_001,app_subcategory_003,app_category_001,app_technology_001,app_risk_003,app_saas_001,rule_context_006
Drop,redacted_action,2026-01-01 00:14:06,2026-01-01 00:14:06,2026-01-01 00:14:06,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_056,destination_port_397,source_country_034,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:14:07,2026-01-01 00:14:07,2026-01-01 00:14:07,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_002,source_port_056,destination_port_245,source_country_031,destination_country_011,threat_name_010,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
Drop,redacted_action,2026-01-01 00:14:08,2026-01-01 00:14:08,2026-01-01 00:14:08,redacted_type,threat_type_002,application_003,source_zone_003,destination_zone_003,inbound_interface_003,outbound_interface_missing,ip_protocol_001,source_port_001,destination_port_001,source_country_013,destination_country_011,threat_name_007,category_001,severity_004,direction_001,app_subcategory_005,app_category_003,app_technology_003,app_risk_001,app_saas_001,rule_context_missing
